brand,currency,min_price,rating,five_star_scale_rating,ratings_count,condition_label,condition_description,seller_note,processor,screen_size_inches,manufacturer_color,color,hard_drive_size,hard_drive_size_unit,ram_size,ram_size_unit,ssd_size,ssd_size_unit,gpu_type,processor_speed,processor_speed_unit,laptop_type,release_year,display_width,display_height,model,os,features,country_of_manufacturer,storage_type
dell,$,159.77,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_7th_gen,14.0,other,orange,256.0,gigabytes,16.0,gigabytes,256.0,gigabytes,unknown,2.6,GHz,laptop,,,,dell_latitude_5480,windows,"bluetooth,built-inmicrophone,wi-fi",unknown,ssd
lg,$,90.73,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,10.85,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,120.48,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
olidata,$,21.6,,,,for_parts_or_not_working,"An item that does not function as intended and is not fully operational.
    This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components.",,intel_pentium,15.0,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,107.82,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,2679.39,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,black,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
kodak,$,41.96,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
microsoft,$,174.99,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_10th_gen,13.5,other,silver,128.0,gigabytes,8.0,gigabytes,128.0,gigabytes,intel,1.2,GHz,laptop,,2256,1504,microsoft_surface_laptop,unknown,"touchscreen,eyetracking,bluetooth,built-inwebcam,widescreendisplay,wi-fi,multi-touchtrackpad,convertible2-in-1laptop/tablet,backlitkeyboard,built-inmicrophone",unknown,ssd
lenovo,$,199.99,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",“FULLY REFURBISHED AND TESTED. COMES WITH WORKING BATTERY AND AC ADAPTER”,intel_core_i5,14.1,other,black,1.0,terabytes,16.0,gigabytes,,,intel,,unknown,laptop,,,,,windows,wi-fi,unknown,hdd
auo,$,55.4,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,324.09,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,14.0,other,other,,unknown,,,120.0,gigabytes,intel,2.6,GHz,laptop,,1280,720,e5440,windows,"10/100lancard,wi-fi,sdcardreader",unknown,unknown
acer,$,199.99,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,celeron_r,13.3,other,other,128.0,gigabytes,4.0,gigabytes,128.0,gigabytes,unknown,1.1,GHz,laptop,,,,,windows,wi-fi,unknown,ssd
panasonic,$,164.95,,,,no_label,No description,,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,293.26,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,14.0,other,other,,unknown,,,120.0,gigabytes,intel,2.6,GHz,laptop,,1280,720,e5440,windows,"10/100lancard,wi-fi,sdcardreader",unknown,unknown
lenovo,$,490.11,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,14.0,other,other,,unknown,,,240.0,gigabytes,intel,,unknown,laptop,,1280,720,t440s,windows,webcamintegrated,unknown,unknown
lenovo,$,449.73,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_6th_generation,14.0,other,other,,unknown,,,960.0,gigabytes,intel,2.8,GHz,laptop,,,,t470s,windows,"touchid,10/100lancard,wi-fi,backlitkeyboard,bluetooth",unknown,unknown
microsoft,$,158.18,,,,no_label,No description,,intel_core_i5_11th_gen,,other,other,512.0,gigabytes,512.0,gigabytes,512.0,gigabytes,unknown,,unknown,unknown,,2880,1920,microsoft_surface_pro_8,windows,"lte,wi-fi",unknown,unknown
unknown,$,210.24,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,black,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,234.69,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",“These units are fully functional and have all necessary accessories including a new Operating ...  Read moreabout the seller notes“These units are fully functional and have all necessary accessories including a new Operating System.” Read Lessabout the seller notes,8265u,14.0,other,black,,unknown,8.0,gigabytes,500.0,gigabytes,intel,1.6,GHz,other,2019,1366,768,latitude_5400,windows,"bluetooth,wi-fi",united_states,unknown
unknown,$,1881.77,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
kodak,$,41.8,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
hp,$,199.88,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“This item is Refurbished! It has been inspected, cleaned, and repaired to meet manufacturer ...  Read moreabout the seller notes“This item is Refurbished! It has been inspected, cleaned, and repaired to meet manufacturer specifications. May have some wear such as scratches, dings, dents, but overall in good shape. Battery is fully tested and working and holds great charge. Power adapter is included. This units will be shipped in a New Brown Box.” Read Lessabout the seller notes",intel_core_i5_7th_gen,14.0,other,silver,512.0,gigabytes,16.0,gigabytes,512.0,gigabytes,intel,2.6,GHz,laptop,,1920,1080,hp_elitebook_840,windows,"backlitkeyboard,bluetooth,built-inwebcam,wi-fi",unknown,ssd
asus,$,107.01,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,479.95,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“The system has been professionally refurbished, comes with a fresh activated copy of Windows 11 ...  Read moreabout the seller notes“The system has been professionally refurbished, comes with a fresh activated copy of Windows 11 professional. Laptops are in 100% working condition. While this units are in very good shape they will show minimal wear or finish marks and will exhibit only minor surface scuffs and or scratches. Comes with original charger” Read Lessabout the seller notes",intel_core_i7,14.0,black,black,2.0,terabytes,64.0,gigabytes,2.0,terabytes,unknown,4.2,GHz,laptop,,,,dell_latitude_7490,windows,"backlitkeyboard,bluetooth,built-inmicrophone,built-inwebcam",unknown,ssd
dell,$,431.37,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,14.0,other,other,,unknown,,,960.0,gigabytes,intel,2.6,GHz,laptop,,1280,720,e5440,windows,"10/100lancard,wi-fi,sdcardreader",unknown,unknown
unknown,$,240.21,,,,excellent_refurbished,"The item is in like-new condition, backed by a one-year warranty.
    It has been professionally refurbished, inspected, and cleaned to excellent condition by qualified sellers.
    The item includes original or new accessories and will come in new generic packaging.",,,,other,other,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
lenovo,$,370.0,,,,no_label,No description,,intel_core_i5_10th_gen,13.3,black,black,,,8.0,gigabytes,256.0,gigabytes,intel,1.6,GHz,laptop,2020,1920,1080,lenovo_thinkpad_l13_yoga,windows,"touchscreen,backlitkeyboard",unknown,ssd
dell,$,159.77,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_7th_gen,14.0,other,orange,256.0,gigabytes,16.0,gigabytes,256.0,gigabytes,unknown,2.6,GHz,laptop,,,,dell_latitude_5480,windows,"bluetooth,built-inmicrophone,wi-fi",unknown,ssd
unknown,$,111.24,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
lenovo,$,379.0,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,amd,13.3,other,black,512.0,gigabytes,8.0,gigabytes,512.0,gigabytes,amd,2.3,GHz,laptop,2023,1920,1080,thinkpad_l14_gen2,windows,"bluetooth,built-inmicrophone,built-inwebcam,widescreendisplay,wi-fi",china,ssd
asus,$,170.82,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",“See Description For Item Grade”,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,299.76,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_3rd_generation,14.0,other,other,,unknown,,,240.0,gigabytes,intel,2.0,GHz,laptop,,1280,720,e6430,windows,"10/100lancard,wi-fi",unknown,unknown
unknown,$,353.91,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,other,,,,,,,intel,,unknown,pc,,,,,unknown,,unknown,unknown
unknown,$,934.07,,,,open_box,"An item in excellent, new condition with no wear.
    The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed.
    The item includes original accessories and may be a factory second.","“Artículo de exposición - Articulo de exposición, cuyo embalaje original ha podido dañarse o con ...  Read moreabout the seller notes“Artículo de exposición - Articulo de exposición, cuyo embalaje original ha podido dañarse o con pequeños defectos que no impedirán su buen funcionamiento y 3 años de garantía. Puede tener leves arañazos.” Read Lessabout the seller notes",,,other,silver,,,,,,,other,,unknown,unknown,,,,,unknown,,unknown,unknown
fujitsu,$,328.23,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,348.47,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
lenovo,$,74.99,,,,good_refurbished,"The item shows moderate wear and is backed by a one-year warranty.
    It is fully functional and has been professionally refurbished, inspected, and cleaned to good condition by qualified sellers.
    The item includes original or new accessories and will come in a new generic packaging.",“1-Year Allstate warranty. The original HP charger is included.”,intel_celeron_n,11.6,other,multicolor,32.0,gigabytes,4.0,gigabytes,32.0,gigabytes,intel,2.4,GHz,laptop,,1366,768,lenovo_100e,chrome,"bluetooth,built-inmicrophone,built-inwebcam,widescreendisplay,wi-fi",unknown,emmc
dell,$,349.99,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“IBM refurbished used product, Excellent conditions as shown in the pictures.4G/LTE supports: AT&T, ...  Read moreabout the seller notes“IBM refurbished used product, Excellent conditions as shown in the pictures.4G/LTE supports: AT&T, Bell, Rogers, Sprint, T-Mobile, Telus, Verizon, Vodafone, US Cellular” Read Lessabout the seller notes",i7_6600u,12.5,other,black,,unknown,8.0,gigabytes,128.0,gigabytes,intel,2.6,GHz,laptop,2016,1920,1080,dell_latitude_e5270,windows,"smartcardreader,wwan4g/lte,rj45gigabitethernet,at&t,bell,rogers,sprint,t-mobile,telus,,verizon,vodafone,uscellular,backlitkeyboard,bluetooth,built-inmicrophone,built-inwebcam",unknown,ssd
hannstar,$,130.32,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
lenovo,$,230.0,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“Grade B through C Cosmetic Condition - Very Light surface blemishes may exist from previous use, ...  Read moreabout the seller notes“Grade B through C Cosmetic Condition - Very Light surface blemishes may exist from previous use, see variations for details. FULLY FUNCTIONAL. REFURBISHED - Reformatted & Optimized by Certified Technicians.” Read Lessabout the seller notes",intel_core_i7_6th_gen,14.0,other,black,,,16.0,gigabytes,512.0,gigabytes,intel,2.6,GHz,laptop,2016,2560,1440,lenovo_thinkpad_x1_carbon_4th_gen,windows,"backlitkeyboard,bluetooth,built-inmicrophone,built-inwebcam,forcetouchtrackpad,multi-touchtrackpad,touchid,widescreendisplay,wi-fi",unknown,ssd
unknown,$,341.8,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,intel,,unknown,pc,,,,,unknown,,unknown,unknown
auo,$,94.46,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
innolux,$,93.93,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,739.27,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,other,,,,,,,intel,,unknown,pc,,,,,unknown,,unknown,unknown
samsung,$,94.51,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,266.12,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,black,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,5.42,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“GRADO------- B ---------prima di acquistare leggere attentamente classificazione,caratteristiche ...  Read moreabout the seller notes“GRADO------- B ---------prima di acquistare leggere attentamente classificazione,caratteristiche condizioni cerchiamo di fornire piu informazioni possibili per paragonare i gradi degli oggetti in modo che possiate identificare il più possibile quello che state acquistandogli oggetti non comprendono caricatore,scatola o accessori almeno che non specificato” Read Lessabout the seller notes",,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,316.31,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,black,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
huawei,$,695.0,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,11th_gen_intel_core_i5_1135g7,15.6,other,silver,,,8.0,gigabytes,512.0,gigabytes,intel,10.0,unknown,laptop,2021,1920,1080,matebook_d15_11th_gen,unknown,"bluetooth,built-inmicrophone,built-inwebcam,widescreendisplay,wi-fi,fingerprintpowerbutton",unknown,ssd
mouse_computer,$,449.83,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,128.13,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,105.44,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,281.14,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,14.0,other,other,,unknown,,,240.0,gigabytes,intel,2.6,GHz,laptop,,1280,720,e5440,windows,"10/100lancard,wi-fi,sdcardreader",unknown,unknown
dell,$,341.91,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_5th_generation,14.0,other,other,,unknown,,,120.0,gigabytes,intel,,unknown,laptop,,1280,720,e7450,windows,,unknown,unknown
unknown,$,330.05,,,,good_refurbished,"The item shows moderate wear and is backed by a one-year warranty.
    It is fully functional and has been professionally refurbished, inspected, and cleaned to good condition by qualified sellers.
    The item includes original or new accessories and will come in a new generic packaging.","“Gebraucht - gut: Mittlere Gebrauchsspuren möglich, z.B. geringe Bildschirmflecken oder -Kratzer am ...  Read moreabout the seller notes“Gebraucht - gut: Mittlere Gebrauchsspuren möglich, z.B. geringe Bildschirmflecken oder -Kratzer am Display. Leichte Abnutzungserscheinungen am Gehäuse oder Tastatur. KEINE Risse oder Brüche vorhanden. Jedes Gerät wurde von unseren IT-Spezialisten einem umfassenden Refurbishing-Prozess unterzogen. Hierzu gehören eine gründliche Reinigung und die Prüfung sämtlicher Funktionen. Alle Geräte sind technisch einwandfrei!” Read Lessabout the seller notes",,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,90.17,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unbranded,$,32.75,,,,open_box,"An item in excellent, new condition with no wear.
    The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed.
    The item includes original accessories and may be a factory second.",,amd_a10,7.2,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
